programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,1,8:30-9:20,21CYB101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,2,9:20-10:10,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,3,10:20-11:10,21CYB101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,4,11:10-12:00,21MES102L,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,5,12:40-1:30,21MES102L,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,6,1:30-2:20,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,7,2:20-3:05,21LEH101T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,MON,8,3:05-3:50,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,1,8:30-9:20,21CYB101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,2,9:20-10:10,21BTB103T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,3,10:20-11:10,LIB,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,4,11:10-12:00,21MAB102T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,5,12:40-1:30,21ECC101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,6,1:30-2:20,21LEH101T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,7,2:20-3:05,21CSS101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,TUE,8,3:05-3:50,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,1,8:30-9:20,21BTB103T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,2,9:20-10:10,21CYB101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,3,10:20-11:10,21ECC101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,4,11:10-12:00,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,5,12:40-1:30,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,6,1:30-2:20,21MAB102T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,7,2:20-3:05,21LEH101T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,WED,8,3:05-3:50,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,1,8:30-9:20,21CSS101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,2,9:20-10:10,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,3,10:20-11:10,21LEM101T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,4,11:10-12:00,21MAB102T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,5,12:40-1:30,21CSS101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,6,1:30-2:20,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,7,2:20-3:05,21ECC101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,THU,8,3:05-3:50,21CYB101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,1,8:30-9:20,21MAB102T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,2,9:20-10:10,21CSS101J,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,3,10:20-11:10,21PDM102L,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,4,11:10-12:00,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,5,12:40-1:30,21CYM101T,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,6,1:30-2:20,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,7,2:20-3:05,,
ECE,I Year,ECE 1A,803,Dr.Reshma P Vengaloor,FRI,8,3:05-3:50,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,1,8:30-9:20,21ECC222L,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,2,9:20-10:10,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,3,10:20-11:10,21PDH209T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,4,11:10-12:00,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,5,12:40-1:30,21MAB203T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,6,1:30-2:20,21LEM202T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,7,2:20-3:05,21ECE212T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,MON,8,3:05-3:50,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,1,8:30-9:20,21MAB203T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,2,9:20-10:10,LIB,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,3,10:20-11:10,21ECC202T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,4,11:10-12:00,21ECE212T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,5,12:40-1:30,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,6,1:30-2:20,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,7,2:20-3:05,21CSC206T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,TUE,8,3:05-3:50,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,1,8:30-9:20,21ECC204T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,2,9:20-10:10,Counselling,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,3,10:20-11:10,21ECC202T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,4,11:10-12:00,21MAB203T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,5,12:40-1:30,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,6,1:30-2:20,21ECC222L,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,7,2:20-3:05,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,WED,8,3:05-3:50,,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,THU,1,8:30-9:20,21CSC206T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,THU,2,9:20-10:10,21ECC204T,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,THU,3,10:20-11:10,Counselling,
ECE,II Year,ECE 2A,Block III - 201,Dr Lalitha K,THU,4,11:10-12:00,21MAB203T,
