programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,1,8:30-9:20,21EES101T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,2,9:20-10:10,21CSC101T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,3,10:20-11:10,21MAB102T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,4,11:10-12:00,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,5,12:40-1:30,21CYB101J (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,6,1:30-2:20,<-------21MES101L ---- > (Workshop (Mechanical Dept)),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,7,2:20-3:05,<-------21MES101L ---- > (Workshop (Mechanical Dept)),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,MON,8,3:05-3:50,<-------21MES101L ---- > (Workshop (Mechanical Dept)),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,1,8:30-9:20,21CSC101T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,2,9:20-10:10,21CYB101J (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,3,10:20-11:10,21MAB102T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,4,11:10-12:00,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,5,12:40-1:30,21LEH103T (21LEH104T),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,6,1:30-2:20,21EES101T (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,7,2:20-3:05,21CYB101J (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,TUE,8,3:05-3:50,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,1,8:30-9:20,21PDM102L (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,2,9:20-10:10,21PDM102L (NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,3,10:20-11:10,21LEH103T /   21LEH104T / (21LEH105T),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,4,11:10-12:00,21LEH103T /   21LEH104T / (21LEH105T),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,5,12:40-1:30,OPEN HOUR,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,6,1:30-2:20,21LEM101T (Nw Adm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,7,2:20-3:05,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,WED,8,3:05-3:50,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,1,8:30-9:20,21CYM101T (O) (NwAdm 104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,2,9:20-10:10,21MAB102T (NwAdm 104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,3,10:20-11:10,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,4,11:10-12:00,21CSC101T (NwAdm 104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,5,12:40-1:30,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,6,1:30-2:20,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,7,2:20-3:05,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,THU,8,3:05-3:50,,"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,1,8:30-9:20,LEET CODE (BMS Project Lab),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,2,9:20-10:10,LEET CODE (BMS Project Lab),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,3,10:20-11:10,21EES101T (Nw Adm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,4,11:10-12:00,21CYB101J (Nw Adm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,5,12:40-1:30,21MAB102T (Nw Adm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,6,1:30-2:20,21EES101T (Nw Adm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,7,2:20-3:05,21CYB101J Lab (Chemistry Lab / NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT A,New Admin 104/105,Dr. S. Sowmya AP /Chemistry,FRI,8,3:05-3:50,21CYB101J Lab (Chemistry Lab / NwAdm104),"BMS Project Lab; Chemistry Lab / NwAdm104; Nw Adm104; NwAdm 104; NwAdm104; NwAdm104,107"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,1,8:30-9:20,21CSC101T  OODP (NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,2,9:20-10:10,21LEH103T (21LEH104T),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,3,10:20-11:10,21EES101T (NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,4,11:10-12:00,21MAB102T (NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,5,12:40-1:30,,"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,6,1:30-2:20,21EES101T (NwAdm106),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,7,2:20-3:05,LEET CODE (BMS Programming Lab),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,MON,8,3:05-3:50,LEET CODE (BMS Programming Lab),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,TUE,1,8:30-9:20,21MAB102T (NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,TUE,2,9:20-10:10,21CYB101J (NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,TUE,3,10:20-11:10,21CYB101J Lab (Chemistry Lab / NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,TUE,4,11:10-12:00,21CYB101J Lab (Chemistry Lab / NwAdm105),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
IT,I Year,IT B,New Admin 105 /106,Dr. A. Jemila Percy AP /Mech,TUE,5,12:40-1:30,21CSC101T (OODP),"BMS Programming Lab; Chemistry Lab / NwAdm105; NwAdm 105; NwAdm105; NwAdm105(F); NwAdm105,106; NwAdm106; NwAdm107(J)"
